order_details_id,order_id,product_id,quantity,order_discount,order_profits,order_profit_ratio,order_sales
125,CA-2015-103849,506,4,0.6,-84,-1.28,66
126,CA-2015-103849,1668,1,0.2,6,0.06,101
127,CA-2015-103940,575,2,0,1,0.04,30
128,CA-2015-103940,617,2,0,13,0.38,35
129,CA-2015-103940,584,3,0,16,0.28,58
130,CA-2015-103940,702,5,0.2,46,0.34,137
131,CA-2015-103989,592,3,0.2,1,0.28,5
132,CA-2015-103989,212,4,0.2,4,0.34,12
133,CA-2015-103989,531,3,0.2,6,0.28,20
134,CA-2015-103989,473,3,0.2,2,0.07,26
135,CA-2015-103989,244,5,0.7,-26,-0.77,34
136,CA-2015-103989,1028,2,0.2,53,0.31,170
137,CA-2015-103989,431,3,0.2,28,0.09,324
138,CA-2015-104178,550,1,0,3,0.42,6
139,CA-2015-104178,1835,4,0,12,0.48,26
140,CA-2015-104178,1300,4,0,13,0.27,49
141,CA-2015-104178,1404,5,0,30,0.32,95
142,CA-2015-104269,744,2,0.2,51,0.11,458
143,CA-2015-104283,964,1,0,22,0.26,86
144,CA-2015-104283,1471,4,0,54,0.24,224
145,CA-2015-104283,1376,5,0,0,0.0,306
146,CA-2015-104402,1566,3,0,31,0.47,66
147,CA-2015-104472,712,3,0.2,19,0.33,60
148,CA-2015-104472,123,6,0,22,0.3,73
149,CA-2015-104563,1170,5,0,9,0.46,21
150,CA-2015-104563,470,5,0,0,0.0,205
151,CA-2015-104563,1212,6,0.2,22,0.05,437
152,CA-2015-104563,759,2,0.2,54,0.11,482
153,CA-2015-104738,50,3,0.8,-4,-1.6,2
154,CA-2015-104738,629,3,0.2,5,0.36,13
155,CA-2015-104738,1000,2,0.2,14,0.3,48
156,CA-2015-104738,1277,2,0.2,19,0.09,218
157,CA-2015-104738,154,3,0.2,29,0.09,329
158,CA-2015-104773,462,2,0.2,6,0.1,60
159,CA-2015-104780,29,8,0,11,0.33,32
160,CA-2015-104808,711,2,0.2,6,0.35,17
161,CA-2015-104829,92,7,0,10,0.45,22
162,CA-2015-104976,1786,6,0,17,0.49,35
163,CA-2015-105165,134,2,0.8,-5,-1.65,3
164,CA-2015-105165,523,3,0.2,4,0.16,22
165,CA-2015-105165,307,4,0.2,-3,-0.06,47
166,CA-2015-105165,1246,3,0.2,15,0.08,197
167,CA-2015-105165,1356,1,0.3,-23,-0.11,201
168,CA-2015-105172,229,6,0,9,0.48,19
169,CA-2015-105249,1504,2,0,0,0.02,7
170,CA-2015-105249,197,4,0,20,0.48,41
171,CA-2015-105249,1428,4,0.15,-5,-0.01,411
172,CA-2015-105270,30,3,0,8,0.26,30
173,CA-2015-105270,845,1,0.2,11,0.1,113
174,CA-2015-105340,1644,1,0.8,-11,-1.6,7
175,CA-2015-105417,48,7,0.8,-18,-1.75,10
176,CA-2015-105417,876,3,0.6,-54,-0.7,77
177,CA-2015-105648,313,3,0.2,-23,-0.04,626
178,CA-2015-105872,1649,4,0.2,26,0.38,70
179,CA-2015-105893,1526,6,0,13,0.02,666
180,CA-2015-105984,752,3,0.3,-35,-0.06,611
181,CA-2015-105984,1396,5,0.4,-210,-0.2,1050
182,CA-2015-106054,522,3,0,5,0.41,13
183,CA-2015-106229,318,3,0.5,-210,-0.78,269
184,CA-2015-106264,587,2,0,1,0.32,3
185,CA-2015-106264,84,3,0,0,0.01,12
186,CA-2015-106376,1118,4,0.2,63,0.38,168
187,CA-2015-106376,886,8,0.2,111,0.1,1113
188,CA-2015-106439,1507,3,0,5,0.46,11
189,CA-2015-106439,1140,3,0,4,0.3,12
190,CA-2015-106439,246,2,0.2,5,0.34,16
191,CA-2015-106439,664,3,0.2,6,0.31,19
192,CA-2015-106439,1749,13,0,30,0.47,65
193,CA-2015-106439,985,5,0,21,0.26,80
194,CA-2015-106439,1179,3,0.2,-9,-0.06,146
195,CA-2015-106439,1068,9,0,48,0.19,252
196,CA-2015-106439,1557,4,0,12,0.03,406
197,CA-2015-106572,543,2,0.2,20,0.08,264
198,CA-2015-106719,1459,2,0.2,3,0.33,8
199,CA-2015-106726,1498,7,0,328,0.26,1261
200,CA-2015-106803,1339,2,0,7,0.28,25
201,CA-2015-106803,915,4,0,48,0.4,120
202,CA-2015-106810,596,2,0.2,23,0.08,311
203,CA-2015-106971,1014,7,0.2,95,0.2,476
204,CA-2015-107139,1609,6,0.2,68,0.38,181
205,CA-2015-107153,502,3,0,12,0.27,46
206,CA-2015-107181,1087,4,0,16,0.47,34
207,CA-2015-107181,706,3,0.2,29,0.35,83
208,CA-2015-107398,928,3,0.7,-2,-0.8,3
209,CA-2015-107398,1636,4,0.7,-5,-0.7,7
210,CA-2015-107398,414,8,0.7,-17,-0.8,21
211,CA-2015-107454,208,7,0,16,0.46,35
212,CA-2015-107454,1563,6,0,24,0.27,89
213,CA-2015-107524,1501,2,0,5,0.47,11
214,CA-2015-107524,149,5,0,17,0.48,36
215,CA-2015-107573,1501,3,0.2,8,0.33,23
216,CA-2015-107594,525,1,0,2,0.39,6
217,CA-2015-107594,1001,2,0,20,0.27,74
218,CA-2015-107706,1072,3,0.2,6,0.38,16
219,CA-2015-107755,1066,7,0,50,0.43,115
220,CA-2015-107769,518,2,0,75,0.29,258
221,CA-2015-107811,14,5,0.2,-1,-0.01,100
222,CA-2015-107811,760,2,0.2,70,0.13,562
223,CA-2015-107818,1304,2,0,3,0.45,6
224,CA-2015-107818,889,8,0,91,0.3,304
225,CA-2015-107818,418,6,0,19,0.04,486
226,CA-2015-107818,833,5,0.2,122,0.13,976
227,CA-2015-107916,678,2,0,6,0.48,13
228,CA-2015-107916,1631,3,0.2,4,0.35,13
229,CA-2015-108147,782,2,0.2,26,0.38,68
230,CA-2015-108147,1559,6,0,84,0.05,1677
231,CA-2015-108182,244,2,0.8,-15,-1.65,9
232,CA-2015-108189,1507,2,0.2,1,0.31,5
233,CA-2015-108189,966,1,0.2,0,-0.01,7
234,CA-2015-108189,96,2,0.2,3,0.36,9
235,CA-2015-108189,981,6,0.2,5,0.36,13
236,CA-2015-108189,1516,2,0.2,-3,-0.21,15
237,CA-2015-108189,1322,3,0.2,20,0.09,230
238,CA-2015-108189,345,2,0.2,107,0.34,318
239,CA-2015-108273,1829,7,0.2,13,0.35,36
240,CA-2015-108273,1538,2,0.6,-75,-1.33,57
241,CA-2015-108609,830,8,0.4,-735,-0.52,1422
242,CA-2015-108707,1814,2,0.2,4,0.35,10
243,CA-2015-108861,782,4,0.2,51,0.38,137
244,CA-2015-108903,472,5,0.2,5,0.34,14
245,CA-2015-108903,887,2,0.2,4,0.08,56
246,CA-2015-108903,1005,3,0.2,-4,-0.03,142
247,CA-2015-109043,1752,5,0.2,30,0.33,91
248,CA-2015-109043,663,5,0.2,17,0.11,152
249,CA-2015-109127,201,6,0,8,0.46,17
250,CA-2015-109134,1220,6,0,9,0.44,20
251,CA-2015-109218,324,5,0,10,0.32,32
252,CA-2015-109232,756,6,0,87,0.16,546
253,CA-2015-109302,1261,7,0,98,0.5,196
254,CA-2015-109491,1053,4,0,7,0.34,20
255,CA-2015-109491,602,3,0,22,0.36,62
256,CA-2015-109680,658,2,0,54,0.14,386
257,CA-2015-109855,1642,2,0.2,8,0.35,24
258,CA-2015-109855,1616,3,0,57,0.16,357
259,CA-2015-109890,783,2,0,10,0.28,36
260,CA-2015-109897,1448,3,0,32,0.37,85
261,CA-2015-109897,340,8,0.2,50,0.06,806
262,CA-2015-109904,1129,3,0,4,0.25,18
263,CA-2015-109918,1088,2,0,10,0.47,21
264,CA-2015-109918,74,4,0,7,0.27,27
265,CA-2015-109918,258,5,0.2,31,0.38,84
266,CA-2015-109932,1746,2,0.2,4,0.35,11
267,CA-2015-109932,1336,3,0.2,21,0.09,237
268,CA-2015-110030,12,3,0.6,-14,-0.6,24
269,CA-2015-110065,333,7,0,7,0.44,16
270,CA-2015-110065,1277,1,0,37,0.27,136
271,CA-2015-110072,1449,4,0.2,13,0.14,94
272,CA-2015-110100,158,3,0.2,38,0.13,302
273,CA-2015-110184,661,9,0,45,0.18,250
274,CA-2015-110184,729,8,0.2,29,0.11,256
275,CA-2015-110219,771,3,0.3,-9,-0.07,128
276,CA-2015-110352,122,2,0.2,9,0.38,24
277,CA-2015-110408,776,3,0,11,0.04,276
278,CA-2015-110408,773,6,0,71,0.13,546
279,CA-2015-110408,176,5,0,363,0.26,1395
280,CA-2015-110422,1594,3,0.2,4,0.16,25
281,CA-2015-110527,203,8,0,10,0.46,21
282,CA-2015-110555,589,7,0,24,0.28,87
283,CA-2015-110555,162,2,0.2,9,0.09,106
284,CA-2015-110555,1084,6,0,91,0.42,217
285,CA-2015-110611,1555,5,0.2,-14,-0.16,84
286,CA-2015-110639,1794,4,0,12,0.48,26
287,CA-2015-110639,1266,4,0,23,0.49,46
288,CA-2015-110786,247,3,0.2,5,0.33,14
289,CA-2015-110786,1780,4,0,10,0.45,21
290,CA-2015-110786,1496,5,0,8,0.33,25
291,CA-2015-110786,616,6,0,24,0.34,71
292,CA-2015-110786,1103,3,0.2,19,0.1,192
293,CA-2015-110786,184,9,0,126,0.46,275
294,CA-2015-110786,537,6,0.2,288,0.38,768
295,CA-2015-110849,331,5,0,4,0.33,11
296,CA-2015-110849,111,2,0,4,0.31,12
297,CA-2015-110849,1169,4,0,4,0.29,13
298,CA-2015-110849,165,4,0.2,97,0.34,288
299,CA-2015-111003,680,3,0,21,0.46,45
300,CA-2015-111003,357,6,0,84,0.29,289
301,CA-2015-111059,239,3,0.2,4,0.33,13
302,CA-2015-111059,899,2,0.2,27,0.33,84
303,CA-2015-111150,322,7,0,12,0.39,30
304,CA-2015-111150,1371,7,0,16,0.34,48
305,CA-2015-111157,1769,1,0.2,1,0.31,3
306,CA-2015-111157,890,3,0.2,32,0.21,151
307,CA-2015-111192,1369,8,0,260,0.19,1368
308,CA-2015-111360,46,3,0.7,-5,-0.8,6
309,CA-2015-111451,1608,3,0.2,9,0.34,28
310,CA-2015-111451,899,5,0.7,-63,-0.8,79
311,CA-2015-111451,560,3,0.2,-25,-0.11,218
312,CA-2015-111451,746,3,0.2,20,0.09,230
313,CA-2015-111451,874,8,0.2,79,0.26,300
314,CA-2015-111500,457,7,0,5,0.36,13
315,CA-2015-111500,260,4,0,8,0.46,18
316,CA-2015-111500,1723,5,0,53,0.46,114
317,CA-2015-111500,1014,4,0,122,0.36,340
318,CA-2015-111773,1635,3,0.2,5,0.35,14
319,CA-2015-111857,1682,1,0,23,0.47,49
320,CA-2015-111871,384,10,0.15,70,0.06,1198
321,CA-2015-111899,1221,6,0.2,2,0.34,5
322,CA-2015-111899,358,2,0.2,3,0.08,38
323,CA-2015-111934,1519,2,0,5,0.45,12
324,CA-2015-111934,538,1,0,17,0.47,35
325,CA-2015-111962,710,2,0.2,3,0.31,10
326,CA-2015-111962,662,5,0,153,0.19,808
327,CA-2015-112158,134,8,0.2,16,0.34,47
328,CA-2015-112158,1000,4,0,53,0.44,120
329,CA-2015-112158,1198,5,0.2,-110,-0.13,884
330,CA-2015-112291,1501,2,0,6,0.5,11
331,CA-2015-112291,602,3,0,22,0.36,62
332,CA-2015-112291,1011,2,0,58,0.36,160
333,CA-2015-112326,709,2,0.8,-5,-1.55,4
334,CA-2015-112326,218,3,0.2,4,0.36,12
335,CA-2015-112326,1373,3,0.2,-65,-0.24,273
336,CA-2015-112403,268,1,0.7,-1,-0.7,1
337,CA-2015-112718,235,1,0.7,-1,-0.73,1
338,CA-2015-112837,504,3,0,22,0.17,128
339,CA-2015-112851,1590,3,0,86,0.47,183
340,CA-2015-113047,105,3,0,4,0.32,12
341,CA-2015-113166,1772,2,0.2,3,0.36,10
342,CA-2015-113257,1036,7,0.6,-3,-0.3,9
343,CA-2015-113257,1328,4,0.2,96,0.3,320
344,CA-2015-113271,1305,2,0,2,0.4,6
345,CA-2015-113271,256,6,0.2,5,0.33,14
346,CA-2015-113271,1764,5,0,16,0.48,32
347,CA-2015-113271,384,1,0.15,7,0.06,120
348,CA-2015-113320,1036,3,0,4,0.48,9
349,CA-2015-113320,1666,3,0,1,0.07,9
350,CA-2015-113320,577,3,0,5,0.36,13
351,CA-2015-113362,456,3,0,5,0.46,11
352,CA-2015-113362,648,5,0,9,0.02,449
353,CA-2015-113383,950,4,0,22,0.27,82
354,CA-2015-113383,480,5,0,76,0.3,255
355,CA-2015-113579,1627,6,0,42,0.46,90
356,CA-2015-113768,544,2,0,4,0.48,8
357,CA-2015-113768,908,6,0.2,21,0.08,279
358,CA-2015-113859,1233,6,0.3,-10,-0.03,340
359,CA-2015-113880,338,3,0.2,6,0.33,17
360,CA-2015-113880,1181,6,0.3,-172,-0.27,634
361,CA-2015-113887,539,1,0,27,0.48,55
362,CA-2015-113929,348,4,0,11,0.3,35
363,CA-2015-113929,905,3,0.2,14,0.36,40
364,CA-2015-113929,1501,5,0,19,0.47,41
365,CA-2015-113964,236,4,0.2,7,0.38,18
366,CA-2015-114125,198,1,0,1,0.49,3
367,CA-2015-114125,1263,4,0,4,0.17,24
368,CA-2015-114125,1647,6,0.2,14,0.34,42
369,CA-2015-114181,525,5,0.2,5,0.24,22
370,CA-2015-114181,309,7,0.5,-217,-0.62,350
371,CA-2015-114195,45,2,0.7,-3,-0.83,3
372,CA-2015-114195,712,3,0.7,-18,-0.8,22
373,CA-2015-114195,875,2,0.2,16,0.24,69
374,CA-2015-114251,1649,2,0.7,-9,-0.67,13
375,CA-2015-114251,1467,5,0.2,-6,-0.13,52
376,CA-2015-114251,1078,2,0.2,17,0.29,58
377,CA-2015-114251,1536,2,0.2,-34,-0.13,274
378,CA-2015-114251,1553,6,0.2,-95,-0.09,1080
379,CA-2015-114314,1440,1,0,3,0.47,7
380,CA-2015-114314,582,4,0,4,0.44,9
381,CA-2015-114321,1355,2,0,9,0.46,20
382,CA-2015-114321,1374,13,0,145,0.29,500
383,CA-2015-114321,687,1,0,422,0.47,897
384,CA-2015-114335,503,4,0.2,17,0.05,337
385,CA-2015-114433,1273,3,0,52,0.35,150
386,CA-2015-114510,1503,2,0,6,0.27,21
387,CA-2015-114510,722,4,0.2,11,0.34,33
388,CA-2015-114510,1311,2,0.2,20,0.33,62
389,CA-2015-114510,418,1,0,3,0.04,81
390,CA-2015-114510,914,12,0,7,0.08,83
391,CA-2015-114517,829,2,0.4,-20,-0.37,53
392,CA-2015-114517,298,3,0,16,0.28,57
393,CA-2015-114643,1508,3,0,5,0.33,15
394,CA-2015-114790,1778,3,0,7,0.47,15
395,CA-2015-114790,1066,2,0,14,0.43,33
396,CA-2015-114790,654,3,0,38,0.26,147
397,CA-2015-114790,1249,3,0,165,0.28,588
398,CA-2015-115049,1069,11,0.2,38,0.25,154
399,CA-2015-115056,287,3,0.2,2,0.08,26
400,CA-2015-115084,1213,6,0,145,0.24,605
401,CA-2015-115133,1065,2,0.2,0,0.15,3
402,CA-2015-115133,856,6,0.2,1,0.07,17
403,CA-2015-115133,1088,4,0.2,11,0.34,33
404,CA-2015-115161,1432,2,0.15,3,0.01,291
405,CA-2015-115259,1346,2,0.2,2,0.35,5
406,CA-2015-115259,1715,3,0.2,7,0.31,24
407,CA-2015-115259,1219,14,0.2,15,0.36,40
408,CA-2015-115259,1589,6,0.2,44,0.34,130
409,CA-2015-115336,721,5,0.8,-24,-1.65,14
410,CA-2015-115357,1063,3,0,23,0.36,63
411,CA-2015-115791,694,2,0.7,-14,-0.73,19
412,CA-2015-115791,1365,3,0.2,10,0.34,30
413,CA-2015-115791,157,3,0.4,-31,-0.25,124
414,CA-2015-115791,484,6,0.2,29,0.23,127
415,CA-2015-115812,1137,4,0,2,0.27,7
416,CA-2015-115812,535,3,0.2,6,0.31,19
417,CA-2015-115812,570,7,0,14,0.29,49
418,CA-2015-115812,295,5,0,34,0.3,115
419,CA-2015-115812,1099,6,0.2,91,0.1,907
420,CA-2015-115812,972,4,0.2,68,0.08,911
421,CA-2015-115812,428,9,0.2,85,0.05,1706
422,CA-2015-115889,159,2,0.2,5,0.11,46
423,CA-2015-115889,100,2,0,105,0.29,363
424,CA-2015-115973,475,1,0.2,0,0.16,3
425,CA-2015-115980,1059,3,0,1,0.44,3
426,CA-2015-115980,110,3,0,3,0.41,7
427,CA-2015-116190,491,3,0,9,0.36,26
428,CA-2015-116190,1089,2,0,18,0.27,68
429,CA-2015-116190,193,13,0,77,0.47,163
430,CA-2015-116239,1444,5,0,18,0.05,355
431,CA-2015-116246,828,6,0.1,421,0.11,3785
432,CA-2015-116407,1124,3,0.2,0,0.11,4
433,CA-2015-116407,1476,4,0.2,8,0.31,25
434,CA-2015-116407,9,2,0.2,29,0.09,333
435,CA-2015-116568,908,4,0.2,14,0.08,186
436,CA-2015-116666,798,5,0.4,240,0.13,1800
437,CA-2015-116673,1494,2,0,2,0.32,6
438,CA-2015-116757,1507,6,0.2,7,0.34,21
439,CA-2015-116757,1830,5,0.2,9,0.35,26
440,CA-2015-116785,204,2,0,6,0.46,13
441,CA-2015-116785,1164,5,0,6,0.29,21
442,CA-2015-116834,490,11,0,19,0.3,63
443,CA-2015-116834,1615,5,0,59,0.17,345
444,CA-2015-116904,692,2,0,6,0.5,13
445,CA-2015-116904,1821,5,0,16,0.48,32
446,CA-2015-116904,418,5,0,16,0.04,405
447,CA-2015-116904,896,5,0,4630,0.49,9450
448,CA-2015-116932,1150,5,0,26,0.26,99
449,CA-2015-116932,821,1,0.2,27,0.1,273
450,CA-2015-116932,770,2,0.2,50,0.06,802
451,CA-2015-117016,324,3,0.2,2,0.15,16
452,CA-2015-117317,1490,3,0,7,0.49,13
453,CA-2015-117345,1440,3,0.2,6,0.34,18
454,CA-2015-117345,32,4,0.2,12,0.28,44
455,CA-2015-117345,855,1,0.2,10,0.16,63
456,CA-2015-117345,1709,2,0.2,29,0.38,78
457,CA-2015-117429,1450,5,0.2,21,0.16,130
458,CA-2015-117464,1134,4,0,3,0.28,12
459,CA-2015-117464,1379,3,0.2,19,0.11,170
460,CA-2015-117464,581,10,0,69,0.29,237
461,CA-2015-117464,741,3,0.2,72,0.1,718
462,CA-2015-117478,134,3,0.7,-5,-0.77,7
463,CA-2015-117639,1286,3,0,173,0.28,618
464,CA-2015-117639,650,7,0,1276,0.47,2716
465,CA-2015-117709,639,4,0,21,0.45,47
466,CA-2015-117765,118,2,0,6,0.29,20
467,CA-2015-117765,266,2,0,15,0.48,32
468,CA-2015-117765,1233,2,0,45,0.28,162
469,CA-2015-117765,964,5,0,112,0.26,430
470,CA-2015-118192,259,2,0.7,-3,-0.73,3
471,CA-2015-118192,1717,7,0.2,13,0.35,37
472,CA-2015-118276,1055,3,0.6,-5,-0.55,9
473,CA-2015-118304,1491,2,0,5,0.26,20
474,CA-2015-118339,1167,6,0,6,0.29,20
475,CA-2015-118339,261,6,0,17,0.48,36
476,CA-2015-118339,1072,7,0,24,0.5,47
477,CA-2015-118339,1632,10,0,25,0.47,53
478,CA-2015-118339,335,2,0,37,0.39,94
479,CA-2015-118962,94,3,0,10,0.47,21
480,CA-2015-118962,1706,2,0,53,0.48,111
481,CA-2015-118962,772,7,0.2,21,0.06,340
482,CA-2015-118976,196,1,0,2,0.48,3
483,CA-2015-118976,341,2,0,1,0.28,5
484,CA-2015-118976,44,2,0,9,0.45,21
485,CA-2015-118976,1345,9,0,129,0.26,498
486,CA-2015-119032,1507,2,0,1,0.35,4
487,CA-2015-119144,1230,4,0.2,-18,-0.23,80
488,CA-2015-119144,379,3,0.15,25,0.08,306
489,CA-2015-119144,1484,3,0,10,0.03,345
490,CA-2015-119151,1429,3,0.2,-38,-0.14,276
491,CA-2015-119151,1559,4,0,56,0.05,1118
492,CA-2015-119172,338,3,0.2,6,0.33,17
493,CA-2015-119172,234,9,0.8,-173,-1.65,105
494,CA-2015-119375,512,5,0,27,0.46,58
495,CA-2015-119375,562,3,0,15,0.12,124
496,CA-2015-119375,1461,7,0,792,0.27,2934
497,CA-2015-119466,482,2,0.6,-7,-0.88,9
498,CA-2015-119529,237,2,0,3,0.49,6
499,CA-2015-119977,1767,4,0,56,0.45,124
500,CA-2015-120096,645,2,0.2,3,0.1,32
501,CA-2015-120096,1735,4,0.2,62,0.35,178
502,CA-2015-120243,1506,4,0,5,0.47,12
503,CA-2015-120278,69,3,0,6,0.47,12
504,CA-2015-120278,1667,2,0,6,0.26,23
505,CA-2015-120278,1300,3,0,10,0.27,37
506,CA-2015-120278,291,6,0,69,0.28,246
507,CA-2015-120411,1327,2,0.2,3,0.31,11
508,CA-2015-120411,384,5,0.3,-70,-0.14,493
509,CA-2015-120432,89,3,0,7,0.26,26
510,CA-2015-120474,888,4,0,13,0.27,47
511,CA-2015-120474,1211,8,0,674,0.24,2808
512,CA-2015-120544,1059,7,0.2,2,0.3,6
513,CA-2015-120544,1505,2,0.6,-3,-0.4,6
514,CA-2015-120544,467,3,0.8,-87,-2.55,34
515,CA-2015-120670,1328,10,0.2,240,0.3,800
516,CA-2015-120768,87,1,0,2,0.27,7
517,CA-2015-120768,407,6,0,75,0.49,153
518,CA-2015-120768,807,14,0,164,0.09,1820
